geojson,median_rent,average_rent
West Vancouver,2180.0,2293.5
Maple Ridge,1300.0,1242.0
Oakridge,1602.0,1671.0
Delta,1105.0,1344.0
North Vancouver City,1637.5,1696.25
Fairview,1430.0,1460.5
North Vancouver District,2036.5,2225.0
Surrey,1348.6,1394.0
White Rock,1179.0,1300.0
Hastings-Sunrise,1445.0,1478.0
Mount Pleasant,1500.0,1539.0
Langley Township,1788.0,1713.0
Renfrew-Collingwood,1600.0,1608.0
Burnaby,1455.6666666666667,1539.0
Victoria-Fraserview,1716.0,1783.0
Riley Park,1618.0,1715.0
Tsawwassen First Nation,1258.0,1395.0
New Westminster,1800.0,1792.5
Coquitlam,1468.5,1555.5
Sunset,1650.0,1783.0
Grandview-Woodland,1445.0,1478.0
Strathcona,1995.0,2105.0
Marpole,1217.5,1269.5
Port Coquitlam,1925.0,1728.0
Kensington-Cedar Cottage,1650.0,1835.0
Downtown,1776.0,1879.0
Port Moody,1903.0,1867.0
Killarney,1716.0,1783.0
West End,1650.0,1721.0
South Cambie,1502.0,1617.0
Pitt Meadows,1650.0,1619.0
Kitsilano,1708.3333333333333,1799.6666666666667
Langley City,1446.0,1437.0
Richmond,1700.0,1746.5
West Point Grey,1550.0,1780.0
Kerrisdale,1967.0,2096.0
