Area,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total
West End/Stanley Park,"1,333","1,642","2,428","3,347","1,698"
English Bay,"1,343","1,756","2,571",**,"1,782"
Downtown,"1,604","1,840","2,786","4,169","1,919"
South Granville/Oak,"1,323","1,618","2,135","3,041","1,671"
Kitsilano/Point Grey,"1,375","1,684","2,308","3,204","1,792"
Westside/Kerrisdale,"1,484","1,648","2,574","3,935","2,010"
Marpole,"1,082","1,242","1,543",**,"1,282"
Mount Pleasant/Renfrew Heights,"1,369","1,493","2,117","3,059","1,622"
East Hastings,"1,482","1,431","2,035","1,988","1,547"
Southeast Vancouver,"1,272","1,519","2,025","2,382","1,732"
University Endowment Lands,"1,613","1,862","2,739","3,639","2,300"
Central Park/Metrotown,"1,339","1,423","1,806","2,442","1,528"
Southeast Burnaby,"1,088","1,246","1,620",**,"1,344"
North Burnaby,"1,091","1,513","1,964","2,134","1,681"
New Westminster,"1,248","1,338","1,770","2,515","1,475"
North Vancouver CY,"1,351","1,643","2,057","3,308","1,781"
North Vancouver DM,"1,455","1,885","2,439","2,743","2,238"
West Vancouver,"1,507","1,920","2,937","4,447","2,299"
Richmond,"1,185","1,459","1,839","2,376","1,695"
Delta,881,"1,140","1,606","2,774","1,367"
Surrey,"1,099","1,365","1,531","1,675","1,458"
White Rock,"1,016","1,185","1,559","2,660","1,300"
Langley City and Langley DM,921,"1,276","1,700","1,761","1,502"
Tri-Cities,"1,204","1,379","1,791","1,896","1,564"
Maple Ridge/Pitt Meadows,837,"1,164","1,467","1,912","1,309"
Vancouver,"1,378","1,543","2,009","2,441","1,675"
